               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10771,            0.019596,            0.051565,           0.0013047,             0.20833,           0.0028108,          0.00092145,            0.034174,            0.012358,            0.016402,              0.0973,              0.0003,              0.0003
                   1,             0.10406,            0.020433,            0.052446,                   0,                   0,                   0,                   0,            0.033911,            0.012457,            0.016507,            0.093693,          0.00069307,          0.00069307
                   2,            0.098629,            0.020367,            0.054614,                   0,                   0,                   0,                   0,            0.033501,            0.012354,            0.016312,            0.090078,           0.0010782,           0.0010782
                   3,            0.096451,            0.024005,            0.052418,           0.0034317,               0.625,           0.0069916,           0.0012625,            0.030467,            0.012143,            0.016337,            0.086455,           0.0014555,           0.0014555
                   0,             0.10771,            0.019596,            0.051565,          0.00066845,            0.083333,          0.00084206,          0.00033682,            0.034174,            0.012358,            0.016402,              0.0973,              0.0003,              0.0003
                   4,            0.087195,            0.024414,            0.052095,           0.0036446,              0.6875,            0.035535,           0.0054118,            0.026595,            0.012839,            0.016529,            0.082825,           0.0018248,           0.0018248
                   1,             0.10406,            0.020433,            0.052446,          0.00067024,            0.083333,          0.00074572,          0.00037286,            0.033911,            0.012457,            0.016507,            0.093693,          0.00069307,          0.00069307
                   5,            0.066651,            0.024555,            0.045087,           0.0039327,              0.9375,            0.014139,           0.0049432,            0.019019,             0.01344,            0.016346,            0.079186,           0.0021861,           0.0021861
                   2,            0.098629,            0.020367,            0.054614,          0.00064103,            0.083333,          0.00048809,          0.00014643,            0.033501,            0.012354,            0.016312,            0.090078,           0.0010782,           0.0010782
                   6,            0.073216,            0.025802,            0.048097,           0.0043317,                   1,            0.046043,            0.013035,            0.015869,            0.013165,             0.01618,             0.07554,           0.0025396,           0.0025396
                   3,            0.096451,            0.024005,            0.052418,             0.00327,                 0.5,           0.0067438,           0.0013051,            0.030467,            0.012143,            0.016337,            0.086455,           0.0014555,           0.0014555
                   7,            0.083534,            0.025163,            0.048067,           0.0043043,                   1,             0.10581,            0.033077,            0.013241,             0.01274,            0.015994,            0.071885,           0.0028852,           0.0028852
                   4,            0.087195,            0.024414,            0.052095,           0.0036446,              0.6875,            0.035535,           0.0054118,            0.026595,            0.012839,            0.016529,            0.082825,           0.0018248,           0.0018248
                   8,            0.068139,            0.024134,            0.049219,           0.0046832,                   1,             0.20754,            0.081818,            0.014005,            0.011749,            0.015869,            0.068223,           0.0032228,           0.0032228
                   5,            0.066651,            0.024555,            0.045087,           0.0039327,              0.9375,            0.014139,           0.0049432,            0.019019,             0.01344,            0.016346,            0.079186,           0.0021861,           0.0021861
                   9,            0.061147,            0.024153,            0.049339,            0.012913,                   1,             0.33511,             0.16896,            0.012218,            0.011568,            0.015721,            0.064553,           0.0035525,           0.0035525
                   6,            0.073216,            0.025802,            0.048097,           0.0043317,                   1,            0.046043,            0.013035,            0.015869,            0.013165,             0.01618,             0.07554,           0.0025396,           0.0025396
                  10,            0.059766,            0.026745,            0.049264,            0.085095,              0.4375,             0.46279,             0.21377,            0.014629,            0.010901,            0.015451,            0.060874,           0.0038743,           0.0038743
                   7,            0.083534,            0.025163,            0.048067,           0.0043043,                   1,             0.10581,            0.033077,            0.013241,             0.01274,            0.015994,            0.071885,           0.0028852,           0.0028852
                  11,            0.058302,            0.024013,            0.047849,             0.75629,               0.375,             0.38977,             0.11594,            0.022168,           0.0095151,            0.015629,            0.057188,           0.0041882,           0.0041882
                   8,            0.068139,            0.024134,            0.049219,           0.0046832,                   1,             0.20754,            0.081818,            0.014005,            0.011749,            0.015869,            0.068223,           0.0032228,           0.0032228
                  12,            0.053825,            0.022018,            0.044415,             0.43997,             0.55411,             0.57585,             0.29986,            0.012457,           0.0099103,            0.015631,            0.053494,           0.0044941,           0.0044941
                   9,            0.061147,            0.024153,            0.049339,            0.012913,                   1,             0.33511,             0.16896,            0.012218,            0.011568,            0.015721,            0.064553,           0.0035525,           0.0035525
                  13,              0.0602,            0.022924,            0.050528,             0.36385,                0.75,             0.49958,             0.27254,            0.016291,           0.0092352,            0.015272,            0.049792,           0.0047922,           0.0047922
                  10,            0.059766,            0.026745,            0.049264,            0.085095,              0.4375,             0.46279,             0.21377,            0.014629,            0.010901,            0.015451,            0.060874,           0.0038743,           0.0038743
                  14,            0.056737,            0.021841,            0.046328,             0.40768,               0.625,             0.57695,             0.40807,            0.012018,           0.0085682,            0.015262,            0.046082,           0.0050823,           0.0050823
                  11,            0.058302,            0.024013,            0.047849,             0.75629,               0.375,             0.38977,             0.11594,            0.022168,           0.0095151,            0.015629,            0.057188,           0.0041882,           0.0041882
                  15,            0.060965,            0.021293,            0.051989,             0.15314,             0.91667,             0.33324,             0.19004,             0.01849,           0.0085866,            0.014906,            0.042364,           0.0053644,           0.0053644
                  12,            0.053825,            0.022018,            0.044415,             0.43997,             0.55411,             0.57585,             0.29986,            0.012457,           0.0099103,            0.015631,            0.053494,           0.0044941,           0.0044941
                  16,            0.060691,            0.019062,            0.047105,             0.42983,             0.51995,             0.61689,             0.26209,            0.018545,           0.0074656,            0.015116,            0.038639,           0.0056387,           0.0056387
                  13,              0.0602,            0.022924,            0.050528,             0.36385,                0.75,             0.49958,             0.27254,            0.016291,           0.0092352,            0.015272,            0.049792,           0.0047922,           0.0047922
                  17,             0.05063,            0.018987,            0.043808,             0.30793,             0.60556,             0.41496,             0.27347,            0.023994,           0.0065898,            0.015125,            0.034905,           0.0059051,           0.0059051
                  14,            0.056737,            0.021841,            0.046328,             0.40768,               0.625,             0.57695,             0.40807,            0.012018,           0.0085682,            0.015262,            0.046082,           0.0050823,           0.0050823
                  18,             0.05327,            0.020322,            0.045821,             0.22894,                   1,             0.57959,             0.39532,            0.018116,           0.0063911,            0.015382,            0.031163,           0.0061635,           0.0061635
                  15,            0.060965,            0.021293,            0.051989,             0.15314,             0.91667,             0.33324,             0.19004,             0.01849,           0.0085866,            0.014906,            0.042364,           0.0053644,           0.0053644
                  19,             0.04752,            0.020349,            0.042384,             0.40822,             0.64832,             0.53696,             0.22016,            0.013852,           0.0068228,            0.015462,            0.027414,            0.006414,            0.006414
                  16,            0.060691,            0.019062,            0.047105,             0.42983,             0.51995,             0.61689,             0.26209,            0.018545,           0.0074656,            0.015116,            0.038639,           0.0056387,           0.0056387
                  20,            0.048727,            0.018883,            0.039044,             0.20241,             0.83333,             0.43329,             0.24911,            0.014852,           0.0060306,            0.015449,            0.023657,           0.0066566,           0.0066566
                  17,             0.05063,            0.018987,            0.043808,             0.30793,             0.60556,             0.41496,             0.27347,            0.023994,           0.0065898,            0.015125,            0.034905,           0.0059051,           0.0059051
                  21,              0.0569,            0.018515,            0.047624,             0.31241,             0.88738,             0.67124,             0.32366,            0.015276,           0.0053637,            0.015358,            0.019891,           0.0068913,           0.0068913
                  18,             0.05327,            0.020322,            0.045821,             0.22894,                   1,             0.57959,             0.39532,            0.018116,           0.0063911,            0.015382,            0.031163,           0.0061635,           0.0061635
                  22,               0.054,            0.019032,            0.047315,             0.38075,                0.75,             0.55131,             0.33778,            0.014891,           0.0047071,            0.015336,            0.016118,            0.007118,            0.007118
                  19,             0.04752,            0.020349,            0.042384,             0.40822,             0.64832,             0.53696,             0.22016,            0.013852,           0.0068228,            0.015462,            0.027414,            0.006414,            0.006414
                  23,             0.04894,            0.017661,            0.047064,             0.51482,                0.75,             0.62093,             0.37155,           0.0099872,           0.0051017,            0.015527,            0.012337,           0.0073369,           0.0073369
                  20,            0.048727,            0.018883,            0.039044,             0.20241,             0.83333,             0.43329,             0.24911,            0.014852,           0.0060306,            0.015449,            0.023657,           0.0066566,           0.0066566
                  24,            0.051342,            0.017456,            0.047168,              0.4953,               0.625,             0.57361,             0.32223,              0.0141,           0.0053931,            0.015597,           0.0085478,           0.0075478,           0.0075478
                  21,              0.0569,            0.018515,            0.047624,             0.31241,             0.88738,             0.67124,             0.32366,            0.015276,           0.0053637,            0.015358,            0.019891,           0.0068913,           0.0068913
                  25,             0.04257,            0.014744,            0.043249,             0.37053,              0.6875,             0.36334,             0.11159,            0.022409,           0.0049464,            0.015853,            0.007525,            0.007525,            0.007525
                  22,               0.054,            0.019032,            0.047315,             0.38075,                0.75,             0.55131,             0.33778,            0.014891,           0.0047071,            0.015336,            0.016118,            0.007118,            0.007118
                  26,            0.051898,             0.01786,            0.045615,             0.45418,              0.6875,             0.43788,             0.17254,            0.015085,           0.0054811,             0.01605,            0.007525,            0.007525,            0.007525
                  23,             0.04894,            0.017661,            0.047064,             0.51482,                0.75,             0.62093,             0.37155,           0.0099872,           0.0051017,            0.015527,            0.012337,           0.0073369,           0.0073369
                  27,            0.043558,            0.016343,            0.043697,             0.46147,             0.67543,             0.59139,              0.2753,            0.013427,           0.0050167,            0.016054,            0.007426,            0.007426,            0.007426
                  24,            0.051342,            0.017456,            0.047168,              0.4953,               0.625,             0.57361,             0.32223,              0.0141,           0.0053931,            0.015597,           0.0085478,           0.0075478,           0.0075478
                  28,            0.039465,            0.017384,            0.038563,             0.42513,                0.75,             0.69622,             0.33188,            0.012112,           0.0047955,            0.015935,            0.007327,            0.007327,            0.007327
                  25,             0.04257,            0.014744,            0.043249,             0.37053,              0.6875,             0.36334,             0.11159,            0.022409,           0.0049464,            0.015853,            0.007525,            0.007525,            0.007525
                  29,            0.042332,            0.016725,            0.047809,             0.46763,             0.71324,             0.60187,             0.36464,            0.011202,           0.0044227,            0.015998,            0.007228,            0.007228,            0.007228
                  26,            0.051898,             0.01786,            0.045615,             0.45418,              0.6875,             0.43788,             0.17254,            0.015085,           0.0054811,             0.01605,            0.007525,            0.007525,            0.007525
                  30,            0.046606,            0.017018,            0.046371,             0.44201,                0.75,             0.61273,             0.41646,            0.011302,           0.0041963,            0.015872,            0.007129,            0.007129,            0.007129
                  27,            0.043558,            0.016343,            0.043697,             0.46147,             0.67543,             0.59139,              0.2753,            0.013427,           0.0050167,            0.016054,            0.007426,            0.007426,            0.007426
                  31,            0.053968,            0.016462,            0.046993,             0.38008,             0.83333,             0.71216,             0.49515,           0.0085449,           0.0041886,            0.015591,             0.00703,             0.00703,             0.00703
                  28,            0.039465,            0.017384,            0.038563,             0.42513,                0.75,             0.69622,             0.33188,            0.012112,           0.0047955,            0.015935,            0.007327,            0.007327,            0.007327
                  32,            0.043894,            0.016045,            0.044279,             0.20124,             0.99805,              0.5629,             0.29581,            0.013718,           0.0044962,             0.01557,            0.006931,            0.006931,            0.006931
                  29,            0.042332,            0.016725,            0.047809,             0.46763,             0.71324,             0.60187,             0.36464,            0.011202,           0.0044227,            0.015998,            0.007228,            0.007228,            0.007228
                  33,            0.047316,            0.015473,            0.043736,             0.28811,                   1,             0.57953,             0.31498,            0.011024,           0.0056709,            0.015543,            0.006832,            0.006832,            0.006832
                  30,            0.046606,            0.017018,            0.046371,             0.44201,                0.75,             0.61273,             0.41646,            0.011302,           0.0041963,            0.015872,            0.007129,            0.007129,            0.007129
                  34,            0.042879,            0.014635,            0.042476,             0.28514,             0.91667,             0.63115,              0.3112,            0.012304,           0.0055543,            0.015375,            0.006733,            0.006733,            0.006733
                  31,            0.053968,            0.016462,            0.046993,             0.38008,             0.83333,             0.71216,             0.49515,           0.0085449,           0.0041886,            0.015591,             0.00703,             0.00703,             0.00703
                  35,            0.042692,            0.015347,            0.040955,             0.24695,               0.875,             0.60674,             0.34997,             0.01364,           0.0055506,            0.015276,            0.006634,            0.006634,            0.006634
                  32,            0.043894,            0.016045,            0.044279,             0.20124,             0.99805,              0.5629,             0.29581,            0.013718,           0.0044962,             0.01557,            0.006931,            0.006931,            0.006931
                  36,            0.043537,            0.015624,            0.044259,             0.15072,               0.875,             0.61083,             0.32339,            0.014381,            0.005861,            0.015119,            0.006535,            0.006535,            0.006535
                  33,            0.047316,            0.015473,            0.043736,             0.28811,                   1,             0.57953,             0.31498,            0.011024,           0.0056709,            0.015543,            0.006832,            0.006832,            0.006832
                  37,            0.040186,             0.01514,            0.044349,             0.28612,               0.875,             0.72336,             0.47769,            0.013694,           0.0060189,            0.015224,            0.006436,            0.006436,            0.006436
                  34,            0.042879,            0.014635,            0.042476,             0.28514,             0.91667,             0.63115,              0.3112,            0.012304,           0.0055543,            0.015375,            0.006733,            0.006733,            0.006733
                  38,             0.03764,            0.016847,            0.042168,             0.47803,             0.79167,             0.82385,             0.49238,             0.01573,           0.0061563,            0.014829,            0.006337,            0.006337,            0.006337
                  35,            0.042692,            0.015347,            0.040955,             0.24695,               0.875,             0.60674,             0.34997,             0.01364,           0.0055506,            0.015276,            0.006634,            0.006634,            0.006634
                  39,             0.03912,            0.014888,            0.036959,             0.69661,              0.6875,             0.77647,             0.49733,            0.011706,           0.0050073,            0.013942,            0.006238,            0.006238,            0.006238
                  36,            0.043537,            0.015624,            0.044259,             0.15072,               0.875,             0.61083,             0.32339,            0.014381,            0.005861,            0.015119,            0.006535,            0.006535,            0.006535
                  40,            0.044534,            0.015645,            0.042375,             0.55431,                0.75,             0.82906,             0.55225,           0.0095788,              0.0039,            0.012713,            0.006139,            0.006139,            0.006139
                  37,            0.040186,             0.01514,            0.044349,             0.28612,               0.875,             0.72336,             0.47769,            0.013694,           0.0060189,            0.015224,            0.006436,            0.006436,            0.006436
                  41,            0.042306,            0.014245,            0.044657,             0.59122,             0.74879,             0.74723,             0.56581,           0.0080859,            0.003467,            0.012618,             0.00604,             0.00604,             0.00604
                  38,             0.03764,            0.016847,            0.042168,             0.47803,             0.79167,             0.82385,             0.49238,             0.01573,           0.0061563,            0.014829,            0.006337,            0.006337,            0.006337
                  42,            0.048467,            0.014296,            0.039814,             0.55851,                0.75,             0.70765,             0.51738,           0.0079082,           0.0038806,            0.013017,            0.005941,            0.005941,            0.005941
                  39,             0.03912,            0.014888,            0.036959,             0.69661,              0.6875,             0.77647,             0.49733,            0.011706,           0.0050073,            0.013942,            0.006238,            0.006238,            0.006238
                  43,            0.041706,            0.015245,            0.042018,             0.36794,             0.91667,             0.76119,             0.48686,            0.009473,           0.0039567,            0.013228,            0.005842,            0.005842,            0.005842
                  40,            0.044534,            0.015645,            0.042375,             0.55431,                0.75,             0.82906,             0.55225,           0.0095788,              0.0039,            0.012713,            0.006139,            0.006139,            0.006139
                  44,            0.039591,            0.013876,             0.04047,             0.36529,             0.92779,             0.74046,             0.52595,           0.0081691,           0.0040064,            0.012908,            0.005743,            0.005743,            0.005743
                  41,            0.042306,            0.014245,            0.044657,             0.59122,             0.74879,             0.74723,             0.56581,           0.0080859,            0.003467,            0.012618,             0.00604,             0.00604,             0.00604
                  45,            0.044996,            0.014092,            0.038981,             0.37741,             0.91933,             0.74935,              0.4285,            0.010193,           0.0042786,            0.012438,            0.005644,            0.005644,            0.005644
                  42,            0.048467,            0.014296,            0.039814,             0.55851,                0.75,             0.70765,             0.51738,           0.0079082,           0.0038806,            0.013017,            0.005941,            0.005941,            0.005941
                  46,            0.041793,            0.012271,             0.04082,             0.44912,             0.85417,             0.69393,             0.38828,            0.010545,           0.0045268,            0.011968,            0.005545,            0.005545,            0.005545
                  43,            0.041706,            0.015245,            0.042018,             0.36794,             0.91667,             0.76119,             0.48686,            0.009473,           0.0039567,            0.013228,            0.005842,            0.005842,            0.005842
                  47,            0.038754,            0.013166,            0.039238,             0.47237,             0.85417,              0.8601,             0.55982,           0.0083663,           0.0049912,            0.011437,            0.005446,            0.005446,            0.005446
                  44,            0.039591,            0.013876,             0.04047,             0.36529,             0.92779,             0.74046,             0.52595,           0.0081691,           0.0040064,            0.012908,            0.005743,            0.005743,            0.005743
                  48,            0.041519,            0.012722,            0.034152,             0.45268,             0.86548,              0.7774,             0.53546,           0.0078423,           0.0050285,            0.011348,            0.005347,            0.005347,            0.005347
                  45,            0.044996,            0.014092,            0.038981,             0.37741,             0.91933,             0.74935,              0.4285,            0.010193,           0.0042786,            0.012438,            0.005644,            0.005644,            0.005644
                  49,            0.037536,            0.011344,            0.032802,             0.46187,             0.91667,             0.75223,             0.43631,            0.010703,           0.0052682,            0.011502,            0.005248,            0.005248,            0.005248
                  46,            0.041793,            0.012271,             0.04082,             0.44912,             0.85417,             0.69393,             0.38828,            0.010545,           0.0045268,            0.011968,            0.005545,            0.005545,            0.005545
                  50,            0.041644,            0.014641,            0.041346,             0.45271,             0.85417,             0.80265,             0.46872,            0.010174,           0.0058573,            0.011375,            0.005149,            0.005149,            0.005149
                  47,            0.038754,            0.013166,            0.039238,             0.47237,             0.85417,              0.8601,             0.55982,           0.0083663,           0.0049912,            0.011437,            0.005446,            0.005446,            0.005446
